"Province","Cases (n)","Proportion (n/total)","95% confidence interval for proportion","Population in mid-2019 (n)","Incidence risk (cases per 100 000 persons)","95% confidence interval for incidence risk","Tests per 100 000 persons"
"Eastern Cape",1218,12.2,"(11.5-12.8)",6712276,18.2,"(17.1-19.2)",507
"Free State",135,1.3,"(1.1-1.6)",2887465,4.7,"(3.9-5.5)",597
"Gauteng",1952,19.5,"(18.7-20.3)",15176115,12.9,"(12.3-13.5)",736
"KwaZulu-Natal",1353,13.5,"(12.8-14.2)",11289086,12,"(11.4-12.6)",547
"Limpopo",54,0.5,"(0.4-0.7)",5982584,0.9,"(0.7-1.2)",130
"Mpumalanga",61,0.6,"(0.5-0.8)",4592187,1.3,"(1.0-1.7)",214
"North West",45,0.4,"(0.3-0.6)",4027160,3.6,"(2.6-4.8)",412
"Northern Cape",29,0.3,"(0.2-0.4)",1263875,0.7,"(0.5-1.0)",77
"Western Cape",5168,51.6,"(50.6-52.6)",6844272,75.5,"(73.5.77.6)",1023
"South Africa",10015,100,"",58775020,17.1,"(16.7-17.4)",581
